expression,result
22^2,484
(53 + 51) * 15,1560
50 + 65,115
39 + 93,132
52 + 20,72
14 * 94,1316
(63 + 39) * 43,4386
46^2,2116
65 * 78,5070
(43 + 46) * (75 - 43),2848
65 * 75,4875
18^2,324
33 + 98,131
12^2,144
84 + 43,127
(33 + 78) * 67,7437
38 + 83,121
31^2,961
49 - 37,12
93 * 53,4929
47^2,2209
51 - 12,39
(2 + 51) * (89 - 37),2756
34 * 70,2380
66 + 64,130
(47 + 73) * 18,2160
89 + 94,183
60^2,3600
33 + 51,84
(68 + 93) * 42,6762
(8 + 89) * 53,5141
70^2,4900
77 - 43,34
45 * 37,1665
58 - 31,27
67 - 47,20
(79 + 56) * (65 - 40),3375
83 * 84,6972
96 + 71,167
52 * 75,3900
43 + 77,120
25^2,625
19 + 73,92
82 + 46,128
(8 + 23) * 29,899
19 * 69,1311
92^2,8464
17 * 12,204
39 + 68,107
37 * 50,1850
95 - 36,59
57^2,3249
77 - 23,54
95 * 56,5320
(91 + 67) * 2,316
23 * 76,1748
53 - 35,18
78 - 64,14
45 * 27,1215
50 + 56,106
79 * 38,3002
(43 + 15) * 68,3944
86 * 80,6880
80 + 57,137
(6 + 93) * (12 - 7),495
(61 + 22) * 40,3320
(39 + 61) * (98 - 34),6400
58 + 99,157
56^2,3136
85 * 73,6205
39 * 97,3783
39 * 89,3471
(52 + 43) * 85,8075
76 + 93,169
(90 + 32) * 58,7076
64 + 97,161
(65 + 77) * 55,7810
66 - 64,2
83 * 17,1411
72 + 61,133
38 - 28,10
(33 + 1) * (53 - 23),1020
22 * 42,924
84 + 22,106
33 * 78,2574
30 * 90,2700
68^2,4624
80 + 78,158
67 - 11,56
62^2,3844
24 * 100,2400
51 - 50,1
46^2,2116
37 + 84,121
22 * 56,1232
76 * 46,3496
30 + 98,128
(87 + 41) * (26 - 13),1664
47 * 93,4371
(59 + 72) * 29,3799
57 * 59,3363
93 + 23,116
30 * 96,2880
64 * 80,5120
55 + 101,156
45^2,2025
98 - 52,46
87 + 95,182
61 * 81,4941
46^2,2116
31 * 23,713
(98 + 32) * (50 - 41),1170
79 * 22,1738
34 * 74,2516
21^2,441
47 * 101,4747
49 * 75,3675
99 + 41,140
44 - 40,4
96^2,9216
83 * 27,2241
62^2,3844
19 * 65,1235
64^2,4096
66^2,4356
45^2,2025
66^2,4356
12 * 29,348
82^2,6724
(69 + 59) * (77 - 4),9344
29 + 44,73
(53 + 88) * 18,2538
(38 + 47) * 78,6630
35 + 18,53
88^2,7744
76^2,5776
18 * 72,1296
(36 + 8) * (51 - 21),1320
42^2,1764
85 - 52,33
43 * 59,2537
86^2,7396
46 - 22,24
78 + 86,164
94 + 14,108
(26 + 63) * (51 - 22),2581
94 - 94,0
47 * 53,2491
54 * 65,3510
87 + 95,182
85 * 60,5100
68 * 60,4080
19 * 97,1843
85 + 43,128
43^2,1849
54 * 55,2970
90^2,8100
(64 + 44) * (28 - 14),1512
29 * 37,1073
57 + 81,138
30 + 65,95
54 * 94,5076
83 + 84,167
49 + 85,134
86 + 74,160
23 * 14,322
(93 + 83) * 79,13904
61^2,3721
82^2,6724
(73 + 44) * 9,1053
67 - 19,48
81 + 72,153
84 * 68,5712
56^2,3136
40^2,1600
83^2,6889
42 * 42,1764
99^2,9801
33^2,1089
97^2,9409
91^2,8281
30 * 71,2130
(38 + 30) * 4,272
14 + 12,26
62^2,3844
52^2,2704
93^2,8649
(87 + 32) * 78,9282
50 - 29,21
(34 + 56) * (87 - 5),7380
39^2,1521
19^2,361
72 / 12,6
69^2,4761
96 * 66,6336
38 + 21,59
(43 + 53) * (59 - 48),1056
54 * 80,4320
88^2,7744
15 * 86,1290
78 + 69,147
87 * 95,8265
24 * 33,792
25^2,625
(12 + 72) * 16,1344
78 * 99,7722
53 + 31,84
24 * 22,528
0^2,0
22 + 21,43
90 - 21,69
47 + 20,67
33^2,1089
63 * 59,3717
30 - 20,10
39^2,1521
93 * 72,6696
40 + 87,127
84 - 43,41
16^2,256
65 * 27,1755
77^2,5929
(24 + 17) * (60 - 8),2132
41 * 46,1886
83^2,6889
71 * 85,6035
83 + 72,155
66 * 34,2244
52 + 66,118
16 + 40,56
18^2,324
61 - 50,11
(19 + 12) * 34,1054
65 * 71,4615
38^2,1444
78 + 36,114
76 * 93,7068
43^2,1849
(80 + 73) * (43 - 32),1683
11 * 83,913
96 - 68,28
65 + 27,92
45 * 74,3330
30 * 27,810
75 + 67,142
(23 + 75) * (87 - 21),6468
50 * 16,800
(5 + 66) * 21,1491
82 - 24,58
37^2,1369
46 + 98,144
69 + 54,123
83 + 17,100
85^2,7225
11 * 87,957
66 + 57,123
41 * 74,3034
(47 + 71) * 96,11328
(93 + 70) * (94 - 41),8639
52 + 14,66
16 + 29,45
66 + 94,160
74 - 36,38
(76 + 92) * (28 - 23),840
26 + 84,110
41^2,1681
81 * 31,2511
51 + 79,130
96 * 52,4992
52 * 43,2236
72^2,5184
51 - 18,33
65 - 19,46
59 * 76,4484
50 + 92,142
17 + 51,68
37 * 84,3108
20 + 32,52
97 * 20,1940
46 + 58,104
(55 + 57) * 13,1456
86^2,7396
(80 + 59) * (81 - 42),5421
(23 + 41) * 50,3200
(18 + 37) * 25,1375
64^2,4096
99^2,9801
96 + 68,164
97 - 36,61
31 * 77,2387
90 + 49,139
37^2,1369
67 * 42,2814
(77 + 16) * (74 - 14),5580
89 * 31,2759
65^2,4225
22 * 84,1848
71 + 78,149
93^2,8649
59^2,3481
87 * 77,6699
10 + 100,110
27 * 81,2187
(64 + 9) * 67,4891
78 * 63,4914
23 + 68,91
75 * 91,6825
(83 + 50) * (79 - 67),1596
(90 + 78) * 26,4368
57 + 97,154
(40 + 72) * 66,7392
(63 + 72) * 18,2430
(55 + 77) * (96 - 4),12144
33^2,1089
72^2,5184
40 + 22,62
70 * 24,1680
(78 + 58) * (28 - 9),2584
22 + 83,105
4 * 11,44
17 + 84,101
81 * 27,2187
14 + 18,32
20 + 40,60
78 * 69,5382
78 + 59,137
41 * 25,1025
91^2,8281
85 + 47,132
(51 + 92) * (65 - 17),6864
30^2,900
56 * 78,4368
44 + 40,84
(77 + 61) * (57 - 24),4554
32 * 85,2720
53 + 35,88
34 + 61,95
(30 + 17) * 89,4183
82 + 24,106
(41 + 65) * 18,1908
30 * 93,2790
41 + 31,72
90 * 90,8100
74 - 18,56
43 * 35,1505
41 - 25,16
26 + 80,106
23 + 35,58
73^2,5329
68 - 28,40
(42 + 67) * 19,2071
(57 + 54) * (64 - 26),4218
39 + 36,75
95 * 52,4940
97 - 63,34
27^2,729
(29 + 64) * 34,3162
33 + 79,112
17 * 74,1258
71 + 61,132
20 * 96,1920
70 - 63,7
17 * 51,867
(62 + 11) * (91 - 51),2920
67 + 69,136
31 * 58,1798
49^2,2401
95 * 65,6175
(36 + 34) * (92 - 30),4340
(73 + 29) * 34,3468
0 * 6,0
26 + 78,104
76 * 64,4864
59 + 82,141
71 - 24,47
(65 + 68) * 58,7714
14 + 16,30
97 + 31,128
85 * 52,4420
(94 + 48) * (25 - 10),2130
(14 + 78) * 4,368
35^2,1225
64 * 26,1664
98^2,9604
69^2,4761
83 - 63,20
40 * 103,4120
(3 + 48) * (75 - 64),561
82^2,6724
(13 + 66) * (59 - 32),2133
43 * 67,2881
(9 + 83) * (77 - 28),4508
(25 + 37) * 12,744
40 + 103,143
74^2,5476
93^2,8649
36 + 47,83
71 + 47,118
74 + 26,100
(16 + 46) * 89,5518
42^2,1764
13 * 86,1118
25 + 70,95
12 * 20,240
93 - 21,72
(24 + 66) * (83 - 75),720
31 + 24,55
67 - 42,25
28 + 55,83
70^2,4900
92 + 17,109
12^2,144
36 * 41,1476
79 * 16,1264
85 + 83,168
83 + 55,138
38 + 89,127
69 - 65,4
94 + 74,168
(17 + 72) * 14,1246
(98 + 33) * (58 - 9),6419
21^2,441
58^2,3364
90 + 94,184
64 + 14,78
52^2,2704
(61 + 37) * (92 - 74),1764
45^2,2025
48^2,2304
53 + 72,125
79 + 46,125
(29 + 50) * (64 - 46),1422
86 - 14,72
39^2,1521
12^2,144
29^2,841
50^2,2500
75 * 66,4950
91 - 62,29
12 + 95,107
32 - 15,17
(6 + 9) * 55,825
(6 + 82) * 76,6688
60 - 60,0
62 + 46,108
(98 + 61) * 78,12402
80 + 52,132
(54 + 77) * 44,5764
91 * 35,3185
70 + 34,104
54 * 97,5238
(58 + 27) * 3,255
(82 + 28) * 19,2090
(76 + 3) * 29,2291
75 + 18,93
79 * 55,4345
80 + 46,126
10^2,100
50 * 19,950
99^2,9801
93 - 15,78
46^2,2116
81^2,6561
96 * 71,6816
(69 + 85) * 57,8778
55 - 40,15
(95 + 1) * 21,2016
17 * 43,731
62^2,3844
58 - 55,3
(77 + 89) * 40,6640
21 * 17,357
74^2,5476
80^2,6400
33 * 99,3267
66 + 82,148
83 - 63,20
40 + 61,101
(60 + 80) * 32,4480
78 * 15,1170
52^2,2704
(51 + 24) * 73,5475
68 - 49,19
(7 + 6) * (12 - 10),26
(66 + 68) * 38,5092
20 + 35,55
94 - 79,15
(91 + 17) * 99,10692
(42 + 34) * 47,3572
47 + 96,143
(99 + 69) * (33 - 26),1176
10 * 57,570
97 - 64,33
76^2,5776
47 * 96,4512
34 + 83,117
(82 + 30) * 42,4704
91 + 27,118
38 / 38,1
(82 + 76) * 95,15010
53 * 89,4717
(55 + 44) * 37,3663
80^2,6400
54 * 87,4698
(35 + 38) * (70 - 66),292
91 * 41,3731
(97 + 44) * 21,2961
87 * 35,3045
(68 + 4) * 75,5400
36^2,1296
(54 + 15) * 18,1242
61^2,3721
(84 + 29) * 94,10622
17^2,289
80 * 99,7920
59 * 25,1475
(85 + 29) * 21,2394
89 + 81,170
19^2,361
(39 + 20) * 46,2714
76 + 22,98
(64 + 65) * 84,10836
(90 + 98) * (64 - 14),9400
59 - 51,8
(41 + 54) * 67,6365
30 + 87,117
83^2,6889
85^2,7225
59 + 25,84
25 - 17,8
33^2,1089
59^2,3481
(64 + 55) * 90,10710
(36 + 94) * 9,1170
74 * 36,2664
37^2,1369
29^2,841
44 - 14,30
23^2,529
(24 + 51) * 14,1050
54^2,2916
23^2,529
39 + 85,124
88^2,7744
69^2,4761
97 * 59,5723
(68 + 73) * (50 - 32),2538
(90 + 11) * 11,1111
18 + 24,42
83 * 72,5976
37 * 55,2035
22 * 24,528
73^2,5329
53 * 31,1643
47 + 58,105
23 + 22,45
11^2,121
(88 + 49) * 65,8905
12^2,144
(46 + 82) * (64 - 20),5632
18 + 58,76
75 + 85,160
62^2,3844
(74 + 54) * (91 - 32),7552
(54 + 65) * 53,6307
26 * 78,2028
97 - 47,50
44 * 59,2596
56^2,3136
37^2,1369
12 + 37,49
95 - 34,61
(22 + 84) * (83 - 57),2756
48 - 18,30
(47 + 97) * 78,11232
59 * 87,5133
6^2,36
94^2,8836
17^2,289
(10 + 40) * 76,3800
(79 + 98) * 57,10089
78 - 15,63
76 + 54,130
64^2,4096
41^2,1681
29 * 27,783
93 + 50,143
16^2,256
(36 + 50) * (95 - 25),6020
14^2,196
82 * 20,1640
13^2,169
14 * 40,560
97 * 79,7663
51 * 62,3162
27 * 98,2646
(35 + 21) * (27 - 10),952
(28 + 17) * 88,3960
94 * 74,6956
(48 + 18) * (21 - 12),594
(72 + 8) * (19 - 1),1440
76^2,5776
91^2,8281
96^2,9216
20 + 59,79
75 - 66,9
42^2,1764
(1 + 9) * (31 - 6),250
(1 + 56) * (87 - 49),2166
38^2,1444
25 * 38,950
(45 + 58) * 38,3914
34 + 82,116
25 * 13,325
43 * 76,3268
(71 + 9) * 10,800
66 - 42,24
(31 + 60) * (92 - 78),1274
60 + 33,93
81 + 47,128
32 + 47,79
(53 + 89) * (88 - 79),1278
46^2,2116
(14 + 47) * 81,4941
(81 + 88) * (88 - 12),12844
79 - 17,62
89 * 31,2759
21 + 71,92
71 + 34,105
76 * 80,6080
13 + 51,64
(81 + 88) * 33,5577
97^2,9409
(81 + 49) * 96,12480
(43 + 19) * 23,1426
62 * 94,5828
44 + 35,79
25^2,625
(81 + 73) * 14,2156
11 * 30,330
87 - 19,68
31^2,961
84 - 53,31
56 * 17,952
72 + 37,109
95^2,9025
21 + 55,76
(41 + 76) * (64 - 64),0
50^2,2500
(69 + 68) * 76,10412
50 * 85,4250
85 + 98,183
34 + 45,79
(40 + 21) * 46,2806
10^2,100
31^2,961
80 - 42,38
68 + 49,117
(28 + 27) * 73,4015
91 - 69,22
15 * 58,870
88 - 43,45
81 * 94,7614
22^2,484
46 * 28,1288
97 - 39,58
45 + 49,94
61^2,3721
49^2,2401
23 * 82,1886
(85 + 27) * (44 - 13),3472
80 + 86,166
(1 + 63) * 80,5120
92^2,8464
84^2,7056
19^2,361
32^2,1024
(40 + 94) * 24,3216
27 + 38,65
12 + 61,73
97^2,9409
60 * 94,5640
99 - 73,26
75 * 40,3000
12 * 81,972
67^2,4489
76^2,5776
67 * 49,3283
72 + 61,133
97^2,9409
95^2,9025
69 + 65,134
(76 + 39) * (84 - 9),8625
12 + 58,70
99 - 77,22
54 + 64,118
18^2,324
27 + 94,121
47 * 85,3995
(7 + 66) * 72,5256
(85 + 48) * 93,12369
34 * 76,2584
(5 + 29) * (69 - 13),1904
91 + 28,119
48 - 25,23
(51 + 56) * 30,3210
93^2,8649
(61 + 84) * 98,14210
70 + 24,94
65 + 22,87
57 * 77,4389
43^2,1849
77 - 67,10
89^2,7921
81 + 27,108
27 + 20,47
(36 + 26) * (54 - 40),868
20^2,400
66 + 79,145
24 * 61,1464
30 * 52,1560
72^2,5184
77 + 93,170
52^2,2704
38^2,1444
(5 + 98) * (99 - 72),2781
18 + 54,72
97^2,9409
93^2,8649
17 * 90,1530
16 * 43,688
79 * 17,1343
57 + 95,152
85 * 25,2125
98 + 49,147
36 * 79,2844
16^2,256
36 * 31,1116
12^2,144
14^2,196
32 * 17,544
77 * 75,5775
(47 + 5) * 12,624
39 * 68,2652
(94 + 15) * 48,5232
91^2,8281
92 * 84,7728
83 + 14,97
(46 + 76) * (93 - 80),1586
78 * 86,6708
79 * 48,3792
26 * 97,2522
17 * 50,850
(56 + 47) * 73,7519
(10 + 97) * 25,2675
90 * 22,1980
87 + 59,146
13^2,169
27 * 33,891
(50 + 61) * (91 - 90),111
(83 + 7) * 28,2520
53 + 98,151
(86 + 59) * 17,2465
29 + 59,88
(5 + 5) * 61,610
47 + 69,116
43 + 47,90
(14 + 86) * 12,1200
63 + 43,106
(89 + 89) * 90,16020
25 + 73,98
30 * 33,990
49^2,2401
66^2,4356
47^2,2209
55 + 43,98
72 * 70,5040
83 * 26,2158
(31 + 56) * (70 - 3),5829
69 * 42,2898
46 + 22,68
(25 + 1) * (23 - 15),208
95 * 96,9120
(4 + 74) * (58 - 51),546
34 * 26,884
25 * 24,600
(44 + 74) * (83 - 58),2950
76 - 16,60
99 + 54,153
64 * 63,4032
15 + 58,73
(2 + 30) * 67,2144
30^2,900
(41 + 39) * 46,3680
89 + 24,113
77 + 59,136
56 - 37,19
34 + 74,108
19^2,361
76 * 36,2736
65 + 23,88
55 * 69,3795
35 * 70,2450
(71 + 6) * 62,4774
47 - 24,23
14 * 90,1260
(85 + 36) * 50,6050
(27 + 14) * 11,451
(80 + 85) * (77 - 25),8580
20^2,400
13 * 46,598
17 + 82,99
17 + 81,98
56 + 85,141
40 * 87,3480
(3 + 25) * (59 - 50),252
77 + 23,100
(29 + 22) * (88 - 42),2346
40 * 38,1520
(67 + 8) * 17,1275
20 + 91,111
(87 + 22) * (63 - 39),2616
59^2,3481
35^2,1225
83 + 74,157
16 * 48,768
64 + 53,117
20 + 97,117
35 * 79,2765
87 + 18,105
75 + 87,162
12^2,144
86 * 90,7740
83 * 45,3735
(29 + 83) * 36,4032
(38 + 44) * 31,2542
54 - 41,13
94 + 79,173
84^2,7056
76 - 36,40
23^2,529
37 + 59,96
92 + 87,179
85 + 74,159
(63 + 53) * 50,5800
97^2,9409
80^2,6400
30 * 20,600
24^2,576
13 + 51,64
40 - 40,0
(77 + 63) * 38,5320
17 * 23,391
98 + 62,160
98 * 18,1764
(35 + 6) * 44,1804
59^2,3481
56 + 92,148
15 * 24,360
59 * 99,5841
(22 + 96) * (73 - 1),8496
98 / 14,7
78^2,6084
(62 + 15) * 40,3080
34 + 70,104
57^2,3249
95 + 15,110
84^2,7056
(54 + 11) * (38 - 7),2015
86 * 70,6020
69 * 45,3105
69^2,4761
(86 + 18) * 35,3640
46 * 74,3404
21^2,441
(3 + 89) * 29,2668
18 + 71,89
38 * 32,1216
(87 + 2) * 52,4628
(40 + 28) * (90 - 36),3672
39 * 18,702
71 * 80,5680
11 * 43,473
80 * 57,4560
20 * 32,640
85 + 35,120
91 - 64,27
(55 + 45) * 63,6300
(19 + 23) * (61 - 41),840
13 * 94,1222
74 - 55,19
(44 + 52) * 11,1056
22^2,484
31^2,961
79^2,6241
65^2,4225
33^2,1089
26 + 73,99
(55 + 22) * 70,5390
90 * 56,5040
22 * 42,924
42^2,1764
33 + 35,68
16 + 89,105
(97 + 39) * (81 - 61),2720
(2 + 18) * 55,1100
86 - 14,72
37 * 45,1665
47^2,2209
48 + 38,86
90 * 47,4230
14 + 91,105
94^2,8836
(42 + 75) * 6,702
45 - 42,3
(78 + 12) * 11,990
61 + 85,146
25 - 23,2
45 - 45,0
17 + 52,69
(15 + 27) * 91,3822
93 - 34,59
12 * 58,696
99 + 77,176
(98 + 94) * (94 - 18),14592
43 + 35,78
15^2,225
23 * 41,943
68^2,4624
49^2,2401
78 + 70,148
86 + 26,112
(98 + 46) * 10,1440
76 * 56,4256
25^2,625
25 * 85,2125
88 - 80,8
90 * 75,6750
(47 + 89) * (84 - 17),9112
90 - 49,41
86 * 74,6364
(99 + 34) * 36,4788
69^2,4761
46 * 87,4002
88 + 82,170
64 * 33,2112
(62 + 67) * 47,6063
(18 + 55) * 22,1606
18^2,324
11 + 34,45
25 * 35,875
55 * 96,5280
57 - 41,16
95 * 94,8930
50 + 46,96
63 - 49,14
(18 + 72) * 36,3240
(57 + 30) * (18 - 10),696
49 * 56,2744
55^2,3025
53^2,2809
89 - 31,58
34 * 68,2312
48^2,2304
40 + 41,81
69 * 45,3105
14^2,196
32 + 17,49
44^2,1936
60^2,3600
95^2,9025
45 * 15,675
58 * 31,1798
(60 + 96) * 91,14196
80^2,6400
46 + 87,133
26 + 84,110
58 * 99,5742
(59 + 72) * 45,5895
(85 + 33) * (73 - 51),2596
(25 + 22) * 6,282
64 * 68,4352
68^2,4624
(96 + 48) * 7,1008
28 * 79,2212
40 * 22,880
95^2,9025
12 + 67,79
(46 + 67) * 83,9379
79 - 67,12
88 + 83,171
88 * 40,3520
17 + 51,68
99 / 33,3
(76 + 4) * 24,1920
49 + 61,110
(85 + 52) * 65,8905
94^2,8836
87^2,7569
(12 + 59) * 2,142
(92 + 20) * 87,9744
50 * 28,1400
67 - 14,53
0 / 10,0
14 + 44,58
22 - 18,4
87 * 23,2001
45^2,2025
62 * 17,1054
(89 + 57) * 4,584
(29 + 27) * 38,2128
26 + 94,120
67 * 65,4355
72 + 55,127
59 - 48,11
42 - 16,26
63 + 49,112
98^2,9604
(17 + 96) * 99,11187
83^2,6889
(42 + 87) * (68 - 24),5676
(5 + 16) * 50,1050
86 * 14,1204
28^2,784
47 * 64,3008
63 + 43,106
13 * 80,1040
91^2,8281
98^2,9604
18 + 51,69
80 / 80,1
59 + 30,89
52 * 66,3432
85 * 59,5015
89 + 31,120
73 + 95,168
(37 + 97) * 67,8978
(12 + 82) * 68,6392
(41 + 80) * 72,8712
(15 + 79) * 46,4324
86 * 71,6106
(98 + 44) * (60 - 19),5822
(15 + 28) * 66,2838
(47 + 90) * (88 - 82),822
26 / 13,2
93^2,8649
20^2,400
29 * 59,1711
56 + 32,88
78 - 78,0
84 + 68,152
54^2,2916
82^2,6724
(91 + 54) * 21,3045
90 * 47,4230
87 * 36,3132
17^2,289
83 * 86,7138
57 * 22,1254
98 * 50,4900
33 * 64,2112
(19 + 72) * 24,2184
98^2,9604
(76 + 38) * 50,5700
58 * 60,3480
29 + 37,66
31^2,961
89 + 27,116
12 + 18,30
57 * 49,2793
44 + 17,61
89 - 36,53
(72 + 56) * 7,896
71 * 78,5538
32 * 91,2912
(83 + 85) * 16,2688
(31 + 97) * (22 - 11),1408
30 + 44,74
29 * 61,1769
27 + 33,60
(34 + 61) * 48,4560
67^2,4489
28 + 51,79
48 + 51,99
54 * 41,2214
71^2,5041
51 * 57,2907
(13 + 25) * 72,2736
34 + 36,70
49 - 36,13
93 + 15,108
51 * 68,3468
19^2,361
67 * 57,3819
62 + 77,139
79 + 48,127
84 + 93,177
91 + 84,175
4 * 5,20
54^2,2916
83^2,6889
36 * 93,3348
(72 + 25) * 29,2813
11 + 52,63
(94 + 42) * 50,6800
30 + 95,125
70 + 65,135
88^2,7744
55^2,3025
53^2,2809
15 + 69,84
76^2,5776
75 * 97,7275
25^2,625
18 - 17,1
(29 + 69) * (72 - 6),6468
85 + 20,105
97 + 46,143
43^2,1849
78 - 59,19
(6 + 3) * 1,9
(71 + 22) * 89,8277
11^2,121
58 + 60,118
32^2,1024
73 * 79,5767
(67 + 10) * 87,6699
41^2,1681
50 + 54,104
40 + 59,99
80 - 22,58
43^2,1849
90 + 22,112
30^2,900
(83 + 86) * (11 - 2),1521
12 * 18,216
(73 + 84) * 65,10205
61 * 30,1830
11^2,121
17^2,289
75^2,5625
(76 + 73) * 10,1490
92 + 84,176
47 * 69,3243
93 + 53,146
56 * 32,1792
91 + 64,155
(16 + 52) * (65 - 41),1632
2^2,4
15^2,225
76 + 92,168
48 * 42,2016
36^2,1296
(22 + 21) * 95,4085
(67 + 32) * 22,2178
66 * 83,5478
35 * 82,2870
(34 + 1) * (81 - 26),1925
(70 + 22) * 74,6808
47 - 43,4
58 * 15,870
63 * 68,4284
94^2,8836
43 - 35,8
46 + 29,75
67^2,4489
42 * 71,2982
71^2,5041
95 - 93,2
(98 + 18) * (77 - 5),8352
80 * 62,4960
84 * 68,5712
62^2,3844
62 - 46,16
54^2,2916
57^2,3249
13 + 62,75
78 * 78,6084
99 - 41,58
63 + 39,102
(14 + 48) * (86 - 10),4712
76 + 51,127
87^2,7569
12 * 65,780
42 + 43,85
(4 + 66) * 7,490
61 * 25,1525
(83 + 13) * 60,5760
(98 + 19) * 48,5616
(93 + 24) * (63 - 19),5148
73^2,5329
21^2,441
(20 + 19) * (63 - 6),2223
46^2,2116
26 * 13,338
48 + 18,66
64 - 53,11
(89 + 71) * 35,5600
14^2,196
55^2,3025
11 * 64,704
74 * 41,3034
(88 + 64) * 30,4560
72 - 61,11
31 * 24,744
61 + 24,85
95^2,9025
77 + 80,157
60 * 60,3600
84 - 68,16
55 * 40,2200
20 * 31,620
17^2,289
72 * 65,4680
(6 + 8) * (77 - 7),980
91 + 69,160
19 + 63,82
54 + 80,134
30 - 13,17
43 + 82,125
59^2,3481
94 + 26,120
50 + 88,138
(75 + 4) * 89,7031
48 + 25,73
(89 + 50) * 13,1807
(78 + 49) * (91 - 40),6477
67 * 30,2010
58 * 55,3190
61 * 85,5185
(69 + 38) * 40,4280
27 * 20,540
(37 + 68) * 63,6615
77 + 67,144
48 - 33,15
34^2,1156
33^2,1089
(21 + 7) * (16 - 2),392
(66 + 17) * 22,1826
35^2,1225
78 + 15,93
(7 + 5) * (73 - 34),468
66 + 70,136
85^2,7225
(89 + 11) * 24,2400
90 + 41,131
46^2,2116
98 * 43,4214
(97 + 72) * (44 - 25),3211
54 - 36,18
28 + 50,78
88^2,7744
85^2,7225
47^2,2209
89 - 59,30
44 * 35,1540
(70 + 39) * (84 - 17),7303
28 * 48,1344
85 + 53,138
55^2,3025
76 * 32,2432
(70 + 93) * (84 - 8),12388
72 * 31,2232
27 - 20,7
(86 + 4) * 72,6480
(66 + 92) * (98 - 44),8532
(73 + 1) * 43,3182
91^2,8281
47 + 58,105
15 * 69,1035
(49 + 37) * 47,4042
(48 + 51) * 88,8712
(2 + 58) * 27,1620
25^2,625
(68 + 30) * 61,5978
22 + 28,50
83^2,6889
90 * 99,8910
47^2,2209
58 - 25,33
93^2,8649
(18 + 53) * (88 - 14),5254
91^2,8281
15^2,225
(83 + 98) * (80 - 32),8688
34 * 82,2788
15^2,225
(14 + 3) * 96,1632
99 - 33,66
3 + 10,13
61 + 58,119
64 * 18,1152
31 * 99,3069
(4 + 37) * (33 - 25),328
21 - 17,4
80 + 58,138
78 * 85,6630
2 * 4,8
94 + 102,196
(40 + 48) * 74,6512
74^2,5476
61 * 38,2318
(87 + 81) * 94,15792
32 + 85,117
20 * 55,1100
46 - 18,28
(85 + 2) * (89 - 60),2523
84^2,7056
91 + 43,134
(82 + 42) * 3,372
0 + 6,6
(13 + 68) * 39,3159
51 + 68,119
81 - 81,0
30^2,900
75 * 53,3975
45 * 28,1260
66 + 83,149
42 * 17,714
35 + 44,79
70^2,4900
50^2,2500
35^2,1225
17^2,289
50^2,2500
(8 + 72) * 56,4480
65^2,4225
71 * 24,1704
(90 + 39) * 27,3483
15 * 92,1380
(79 + 38) * 42,4914
74 * 85,6290
74 * 60,4440
81 - 21,60
20^2,400
61 * 58,3538
94 * 51,4794
68 * 78,5304
29 * 89,2581
14 * 62,868
16^2,256
(95 + 1) * (87 - 48),3744
(45 + 20) * 5,325
85 - 38,47
47 * 29,1363
48^2,2304
(49 + 42) * 11,1001
(39 + 22) * 23,1403
86 - 65,21
59^2,3481
92 * 82,7544
90 - 44,46
(1 + 31) * 24,768
35 + 42,77
54 - 10,44
(98 + 34) * (95 - 31),8448
95^2,9025
95 - 55,40
51 + 81,132
41 + 25,66
(63 + 33) * (97 - 14),7968
57^2,3249
57 + 89,146
99 + 73,172
92^2,8464
55 - 43,12
(87 + 36) * 18,2214
36^2,1296
(12 + 55) * (59 - 52),469
51 + 30,81
47^2,2209
12^2,144
35^2,1225
37 + 51,88
51 + 46,97
84 * 70,5880
19 * 32,608
11 * 52,572
81 - 75,6
(17 + 24) * 7,287
36^2,1296
41 * 100,4100
(12 + 2) * 96,1344
20^2,400
80 - 52,28
56 * 67,3752
41^2,1681
42^2,1764
49^2,2401
83^2,6889
(98 + 13) * 32,3552
14 + 89,103
27 + 86,113
11 + 99,110
45 + 15,60
32 + 11,43
81 * 21,1701
55^2,3025
23 * 66,1518
81^2,6561
(34 + 7) * 76,3116
23 + 76,99
97^2,9409
8^2,64
(97 + 56) * 70,10710
(34 + 57) * (49 - 41),728
94 + 22,116
74 * 84,6216
46 - 28,18
61 - 27,34
(25 + 69) * 69,6486
92 - 78,14
75 + 94,169
(53 + 60) * 4,452
80 * 86,6880
17 * 13,221
54^2,2916
83 - 14,69
11^2,121
62 + 94,156
28 + 66,94
(25 + 69) * (54 - 18),3384
(16 + 42) * 34,1972
90 * 100,9000
(93 + 75) * 11,1848
70 * 94,6580
62 + 14,76
14 * 69,966
(75 + 8) * (91 - 2),7387
30 * 56,1680
48 * 25,1200
57 + 54,111
(95 + 76) * 4,684
(53 + 11) * (82 - 60),1408
(20 + 47) * 49,3283
42^2,1764
46 * 58,2668
74 * 31,2294
85^2,7225
(37 + 26) * (34 - 28),378
92 * 78,7176
14 * 89,1246
79 * 76,6004
41^2,1681
58 + 74,132
(66 + 28) * (88 - 30),5452
62 + 66,128
85 + 70,155
35 * 100,3500
52 + 77,129
45 * 88,3960
41 + 100,141
15 * 76,1140
70 * 41,2870
84^2,7056
28 * 50,1400
86 * 68,5848
90 * 21,1890
45 / 15,3
26 + 62,88
38 + 70,108
83 + 26,109
99 * 42,4158
89^2,7921
92 + 15,107
91^2,8281
60 + 60,120
61 + 25,86
35 + 19,54
74 * 51,3774
84^2,7056
41 * 100,4100
72 - 37,35
65 * 82,5330
